user_id,click_article_id,click_timestamp,click_environment,click_deviceGroup,click_os,click_country,click_region,click_referrer_type
199937,137638,1507055602040,4,1,17,1,13,1
199937,285342,1507062527671,4,1,17,1,13,2
199937,158192,1507062557671,4,1,17,1,13,2
199936,272143,1507029810771,4,1,17,1,25,2
199936,162655,1507029840771,4,1,17,1,25,2
199935,199198,1507030783076,4,4,20,1,25,2
199935,272143,1507030813076,4,4,20,1,25,2
199934,272143,1507029679308,4,1,17,1,21,2
199934,233917,1507029709308,4,1,17,1,21,2
199933,156624,1507029647927,4,1,17,1,25,1
199933,156560,1507030470548,4,1,17,1,25,1
